,name,contact number,address1,address2
14,My Nails at V,+1 347-233-4321,"87-77 Parsons Blvd, Jamaica, NY 11432, United States","P54X+W4 Jamaica, Queens, NY, United States"
15,ROCKY NAIL SPA INC.,+1 929-666-5900,"127-11 Merrick Blvd, Jamaica, NY 11434, United States","M6JM+MX New York, United States"
16,Crystal Nail Spa,+1 718-657-1314,"8444 Manton St, Jamaica, NY 11435, United States","P55J+QP Jamaica, Queens, NY, United States"
17,19928Perfect Nails Queen Inc,+1 718-776-8688,"19928 Hollis Ave, St. Albans, NY 11412, United States","P64R+CW St. Albans, Queens, NY, United States"
18,Atlantic Nail & Spa,+1 718-850-2088,"111-12 Atlantic Ave, South Richmond Hill, NY 11419, United States","M5R8+Q7 South Richmond Hill, Queens, NY, United States"
19,Prisca Nails,+1 718-845-4450,"108-02 Liberty Ave, Jamaica, NY 11419, United States","M5M8+FH New York, United States"
20,Paintbucket,+1 347-987-4700,"204 Wythe Ave, Brooklyn, NY 11249, United States","P29Q+76 Brooklyn, New York, United States"
21,Tokuyama Salon,+1 646-666-8565,"230 E 83rd St, New York, NY 10028, United States","Q2GW+G7 New York, United States"
22,Oscar Liberty Spa Nail Salon,+1 718-848-1202,"10811 Liberty Ave, Jamaica, NY 11419, United States","M5M8+JP New York, United States"
23,Liberty Top Nails Spa Inc.,+1 718-880-2471,"10617 Liberty Ave, Jamaica, NY 11417, United States","M5M8+95 New York, United States"
24,88 Prefect Nails Spa Inc.,+1 718-835-2222,"10505 Liberty Ave, Jamaica, NY 11417, United States","M5M7+3J New York, United States"
25,Happy Nails Spa,+1 718-949-0766,"21712 Merrick Blvd, Laurelton, NY 11413, United States","M6HX+V5 New York, United States"
26,New York City Nails,+1 718-850-4290,"88-03 Jamaica Ave, Woodhaven, NY 11421, United States","M4VV+4F Woodhaven, Queens, NY, United States"
27,Five Star Nails,+1 718-322-3810,"161-06 Cross Bay Blvd, Howard Beach, NY 11414, United States","M546+67 Howard Beach, Queens, NY, United States"
28,"Touch of Class Nails - Nail Salon and Spa, Jamaica",+1 347-809-4055,"84-32 164th St, Jamaica, NY 11432, United States","P57W+PW Jamaica, Queens, NY, United States"
29,Super Q Nails Salon Inc,+1 718-848-9208,"9613 Liberty Ave, Ozone Park, NY 11417, United States","M5J4+8W Ozone Park, Queens, NY, United States"
30,Lexington Nail Salon,+1 718-264-9688,"89-53 Francis Lewis Blvd, Queens Village, NY 11427, United States","P69V+93 Queens Village, Queens, NY, United States"
31,Hollywood nails ny,+1 718-805-2361,"9317 Jamaica Ave, Jamaica, NY 11421, United States","M4VX+J9 New York, United States"
32,Michael's Nails II,+1 718-323-8868,"16432 Cross Bay Blvd, Howard Beach, NY 11414, United States","J5X6+WR New York, United States"
33,EJ Diva Nails,+1 718-850-8802,"10209 101st Ave, Jamaica, NY 11416, United States","M5P5+CV Jamaica, Queens, NY, United States"
34,Christy Nail Salon,+1 718-843-8811,"9112 Liberty Ave, Ozone Park, NY 11417, United States","M5H3+X4 New York, United States"
35,Priceless Nail Spa Inc,+1 718-374-3321,"8617 Sutter Ave, Ozone Park, NY 11417, United States","M5G2+F2 Ozone Park, Queens, NY, United States"
36,Yvelisse Salon,+1 718-880-1493,"14713 Jamaica Ave, Jamaica, NY 11435, United States","P52V+Q2 Jamaica, Queens, NY, United States"
37,Queen Bee Nails 1,+1 718-977-7973,"245-07 Francis Lewis Blvd, Jamaica, NY 11422, United States","M778+W4 New York, United States"
38,Posh Nail Salon & Spa -,+1 718-481-8889,"234-16 Merrick Blvd, Rosedale, NY 11422, United States","M7F7+MM New York, United States"
39,Nina Nails,+1 718-740-7003,"21715 Jamaica Ave, Jamaica, NY 11428, United States","P797+7C New York, United States"
40,Paintbucket,+1 347-987-4700,"204 Wythe Ave, Brooklyn, NY 11249, United States","P29Q+76 Brooklyn, New York, United States"
41,Tokuyama Salon,+1 646-666-8565,"230 E 83rd St, New York, NY 10028, United States","Q2GW+G7 New York, United States"
42,MiMi Beauty Nails & Spa,+1 718-819-0866,,
43,Universal Nails,+1 718-847-5735,"8503 Jamaica Ave, Woodhaven, NY 11421, United States","M4VR+3C New York, United States"
44,Small Lily,+1 718-849-0467,"108-01 Queens Blvd #207, Forest Hills, NY 11375, United States","P5C4+MJ New York, United States"
45,Mikki's Nail Salon,+1 718-738-7000,"10526 Cross Bay Blvd, Jamaica, NY 11417, United States","M5H4+R3 New York, United States"
46,Michelle Nail & Spa,+1 718-268-8880,"70-66 Kissena Blvd, Flushing, NY 11367, United States","P5JM+2V Flushing, Queens, NY, United States"
47,New Love Nail & Spa,+1 718-423-0099,"203-14 35th Ave, Bayside, NY 11361, United States","Q688+GF Bayside, Queens, NY, United States"
48,Angel Tips Nail Spa,+1 718-591-5700,"Electchester Shopping Center, 70-63, 7025 Parsons Blvd, Flushing, NY 11365, United States","P5JR+J3 New York, United States"
49,Big Apple Nail & Spa,+1 718-296-6189,"80-13 Jamaica Ave, Woodhaven, NY 11421, United States","M4RQ+W6 New York, United States"
50,Kim's Nail Spa,+1 718-591-6088,"177-3 Union Tpke, Fresh Meadows, NY 11366, United States","P6G5+GP Fresh Meadows, Queens, NY, United States"
51,Rouge Nails & Spa,+1 718-897-9777,"9635 Queens Blvd, Rego Park, NY 11374, United States","P4JQ+2C New York, United States"
52,Enjoy Nail & Spa II,+1 718-961-0006,"65-06 164th St, Flushing, NY 11365, United States","P5PV+JX Flushing, Queens, NY, United States"
53,Diva-licious Nail & Spa Inc,+1 718-896-5535,"7173 Yellowstone Blvd, Forest Hills, NY 11375, United States","P4CV+7W Forest Hills, Queens, NY, United States"
54,Ascend Wellness & Medical Spa - Best Spa in Queens,+1 718-846-4601,"82-62 Austin St, Kew Gardens, NY 11415, United States","P559+RW Kew Gardens, Queens, NY, United States"
55,New Beverly Hills Hair Salon,+1 718-441-4090,"8127 Lefferts Blvd, Kew Gardens, NY 11415, United States","P559+FV Kew Gardens, Queens, NY, United States"
56,Sunny Nail Salon,+1 718-464-7579,"18815 Union Tpke, Flushing, NY 11366, United States","P6H9+RM New York, United States"
57,Tiara Nails & Spa,+1 718-894-1111,"71-03 Metropolitan Ave, Middle Village, NY 11379, United States","P468+W9 New York, United States"
58,Sweet Nails & Spa,+1 718-281-3838,"195-10 47th Ave, Flushing, NY 11358, United States","Q627+XM Flushing, Queens, NY, United States"
59,Fuchsia Beauty Lounge Nail Salon & Spa,+1 718-899-1972,"79-15 37th Ave, Jackson Heights, NY 11372, United States","P4X7+V9 Jackson Heights, Queens, NY, United States"
60,Paintbucket,+1 347-987-4700,"204 Wythe Ave, Brooklyn, NY 11249, United States","P29Q+76 Brooklyn, New York, United States"
61,Larisa’s Salon,+1 718-380-1222,"75-84 179th St, Fresh Meadows, NY 11366, United States","P6G6+P7 New York, United States"
62,Fashion Nail Spa of Queens Inc,+1 718-381-8812,"6556 Myrtle Ave, Glendale, NY 11385, United States","P426+FH New York, United States"
63,Far Rockaway Nail Salon,+1 718-327-0535,"1034 Beach 20th St, Far Rockaway, NY 11691, United States","J63W+7R New York, United States"
64,Sofia's Nail Salon,+1 347-531-0422,"40-63 Junction Blvd, Corona, NY 11368, United States","P4WJ+XP New York, United States"
65,ZR nail place on 78,+1 718-803-0280,"4727, 3558 78th St, Jackson Heights, NY 11372, United States","P4X6+VP Jackson Heights, Queens, NY, United States"
66,LiLi Beauty Center,+1 718-262-0031,"80-15 Jamaica Ave, Woodhaven, NY 11421, United States","M4RQ+X6 Woodhaven, Queens, NY, United States"
67,Satisfaction nail s salon inc,+1 718-847-4675,"87-17 Myrtle Ave, Flushing, NY 11385, United States","P43Q+8R New York, United States"
68,Rani Ayurvedic Spa & Salon,+1 718-738-1550,"115-05 Liberty Ave, South Richmond Hill, NY 11419, United States","M5PF+92 New York, United States"
69,A1 Utopia Nails,+1 718-460-0700,"4610 Utopia Pkwy, Flushing, NY 11358, United States","Q634+6W New York, United States"
70,Fashion Nail Spa of Queens Inc,+1 718-381-8812,"6556 Myrtle Ave, Glendale, NY 11385, United States","P426+FH New York, United States"
71,Nails Envie,+1 800-215-7875,,
72,LW 168 Nail Salon Corporation,+1 718-381-8199,"5738 Myrtle Ave, Ridgewood, NY 11385, United States","P32X+47 New York, United States"
73,Mikki's Nail Salon,+1 718-738-7000,"10526 Cross Bay Blvd, Jamaica, NY 11417, United States","M5H4+R3 New York, United States"
74,Star Nail Plus,+1 718-980-8189,"59-06 Woodside Ave, Woodside, NY 11377, United States","P3WV+3R New York, United States"
75,Star Nail Plus,+1 718-980-8189,"59-06 Woodside Ave, Woodside, NY 11377, United States","P3WV+3R New York, United States"
76,Victoria Nail Salon,+1 212-725-0743,"379 Park Ave S #2, New York, NY 10016, United States","P2R8+W6 New York, United States"
77,Sunny Nail Salon,+1 718-464-7579,"18815 Union Tpke, Flushing, NY 11366, United States","P6H9+RM New York, United States"
78,Cypress Nail Salon,+1 718-417-8002,"863 Cypress Ave, Ridgewood, NY 11385, United States","M3XV+WR New York, United States"
79,Sweety Salon NYC,+1 646-904-1650,"39 W 32nd St #902, New York, NY 10001, United States","P2X7+73 New York, United States"
80,Paintbucket,+1 347-987-4700,"204 Wythe Ave, Brooklyn, NY 11249, United States","P29Q+76 Brooklyn, New York, United States"
81,T-Gardens New York Hair Salon,+1 212-350-9970,"328 E 59th St, New York, NY 10022, United States","Q25P+XP New York, United States"
82,Ping Nail & Spa Inc,+1 718-418-9114,"5954 Summerfield St, Ridgewood, NY 11385, United States","P423+57 New York, United States"
83,LiLi Beauty Center,+1 718-262-0031,"80-15 Jamaica Ave, Woodhaven, NY 11421, United States","M4RQ+X6 Woodhaven, Queens, NY, United States"
84,Satisfaction nail s salon inc,+1 718-847-4675,"87-17 Myrtle Ave, Flushing, NY 11385, United States","P43Q+8R New York, United States"
85,Dashing Diva,+1 718-224-7224,"39-14 Bell Blvd, Bayside, NY 11361, United States","Q67H+X6 New York, United States"
86,RounGe Nail Salon,+1 646-707-3504,"201 E 23rd St, New York, NY 10010, United States","P2Q8+HW New York, United States"
87,Heidy nail’s,+1 347-561-7912,,
88,Marie Nails,+1 646-370-4170,"155 Prince St, New York, NY 10012, United States","PXGX+9H New York, United States"
89,Sapphire Nails & Spa,+1 212-988-1891,"1527 York Ave, New York, NY 10028, United States","Q3F2+33 New York, United States"
90,Arete Beauty Spa - Nail de Vue,+1 646-881-7895,"133-46 37th Avenue #2fl, Flushing, NY 11354, United States","Q568+7P New York, United States"
91,May's Nails,+1 718-397-1313,"66-37 Grand Ave, Flushing, NY 11378, United States","P4F2+XW New York, United States"
92,Oh My Nails!,+1 646-590-4700,"273 E 10th St, New York, NY 10009, United States","P2H8+9V New York, United States"
93,Angel Tips Nail Spa,+1 516-256-5599,"217 W Merrick Rd, Valley Stream, NY 11580, United States","M79W+23 Valley Stream, Hempstead, NY, United States"
94,The Nail Boutique,+1 718-636-2024,"983 Fulton St, Brooklyn, NY 11238, United States","M2MP+6H New York, United States"
95,Angel Nail & Spa,+1 516-295-8500,"Hewlett Shopping Center, 1305, Broadway, Hewlett, NY 11557, United States","J7QX+CM Hewlett, Hempstead, NY, United States"
96,Q Q Nails & Spa,+1 212-924-0782,"108 7th Ave S, New York, NY 10014, United States","PXMW+9P New York, United States"
97,Star Nails,+1 516-371-1576,"277 Burnside Ave, Lawrence, NY 11559, United States","J7F7+CC Lawrence, Hempstead, NY, United States"
98,Soho Nails,+1 212-475-6368,"458 W Broadway # 3, New York, NY 10012, United States","PXGX+GM New York, United States"
99,[ p H 7 ] Natural nails & Sugaring,+1 917-909-1677,"106 S Oxford St, Brooklyn, NY 11217, United States","M2PG+HG Brooklyn, New York, United States"
