,Address,deals2,Tenant,Landlord,Borough,Size,deals7,deals8,Neighborhood,Event Date,Tenant Rep. Agent,Landlord Rep. Agent,Event,Publication Date,Tenant Rep. Firm,Landlord Rep. Firm,,,
3145,190 Union Avenue,,Grain & Vine,Lindsay Park Housing Corp.,Brooklyn,1200,,,Williamsburg,12/18/2014,Louie Hamdan,,Retail Leasing,02/01/2015,Kalmon Dolgin Affiliates,,,,
3146,1031 Lexington Avenue,,74th Street Yarns,1031 Realty Company,Manhattan,1100,,,Upper East Side,12/18/2014,Diane Mandel,Joshua Siegelman,Retail Leasing,02/01/2015,Lansco,Winick Realty Group,,,
3147,1694 Flatbush Avenue,,Avon,Shur Realty,Brooklyn,1000,,,Flatlands,12/18/2014,"Josh Augenbaum, Allie Beyda",,Retail Leasing,02/01/2015,Augenbaum Realty,,,,
3148,168 Court Street,,Benefit Cosmetics,,Brooklyn,800,,,Cobble Hill,12/18/2014,Ron Brien,"Ryan Condren, Kristina Triglia, George Danut",Retail Leasing,02/01/2015,Alliance Commercial Property LLC,CPEX Real Estate,,,
3149,128 East 4th Street,,Fantastic Tea Shop,Eight Cooper Equities LLC,Manhattan,700,,,East Village,12/18/2014,Sagirah Abraham,Kristy Schuck,Retail Leasing,02/01/2015,A.C. Lawrence,Besen & Associates,,,
3150,20 Clinton Street,,50 Clinton Properties,,Manhattan,600,,,Lower East Side,12/18/2014,"Darrell Rubens, Matthew Ball",Darrell Rubens and Matthew Ball,Retail Leasing,02/01/2015,Winick Realty Group,Winick Realty Group,,,
3151,38 Avenue B,,Dojo Izakaya,,Manhattan,600,,,East Village,12/18/2014,"Helen Demetrious, Ina Donath",,Retail Leasing,02/01/2015,Capstone Realty Advisors,,,,
3152,150 Fourth Avenue,,Allstate,,Brooklyn,500,,,Gowanus,12/18/2014,Patrick David,"Ryan Condren, Kristina Triglia, George Danut",Retail Leasing,02/01/2015,E.A.R. Real Estate Group,CPEX Real Estate,,,
3153,71 Hoyt Street,,Oaxaca Taquerías,,Brooklyn,450,,,Boerum Hill,12/18/2014,Daniel Rodriguez,"Ryan Condren, Kristina Triglia, George Danut",Retail Leasing,02/01/2015,Bantam Realty Services,CPEX Real Estate,,,
3154,250 Vesey Street,,Brookfield Property Partners,Omega,Manhattan,3000,,,Battery Park City,11/22/2014,"Bradley Mendelson, Alan Schmerzler",John Auber,Retail Leasing,01/01/2015,Cushman & Wakefield,Auber Group,,,
3155,250 Vesey Street,,Brookfield Property Partners,Lululemon,Manhattan,2993,,,Battery Park City,11/22/2014,"Edward Hogan, Soozan Baxte",John Auber,Retail Leasing,01/01/2015,Brookfield Property Partners,Auber Group,,,
3156,115 Delancey Street,,Regal Cinemas,"L+M Development Partners, Taconic Investment Partners, BFC Partners",Manhattan,65000,,,Lower East Side,11/17/2014,,,Retail Leasing,01/01/2015,,,,,
3157,1095 Sixth Avenue,,Whole Foods,Blackstone Group,Manhattan,42996,,,Theater District,11/17/2014,"Chase Welles, Jacqueline Klinger",Patrick Smith,Retail Leasing,01/01/2015,SCG Retail,SRS Real Estate Partners,,,
3158,247 Bedford Avenue,,Apple,"Red Sky Capital, Waterbridge Capital",Brooklyn,20000,,,Williamsburg,11/17/2014,Chris DeCrosta,Peter Braus,Retail Leasing,01/01/2015,"Crown Retail Services, Open Realty",Lee NYC,,,
3159,102-16 Liberty Avenue,,Blink Fitness,Reda Group,Queens,15500,,,Cypress Hills,11/17/2014,Ezra Saff,Ezra Saff,Retail Leasing,01/01/2015,Retail Zone,Retail Zone,,,
3160,600 DeGraw Street,,Brooklyn Fencing,600-608 DeGraw LLC,Brooklyn,11000,,,Gowanus,11/17/2014,Jean Cook,Allison Chambers,Retail Leasing,01/01/2015,Kalmon Dolgin Affiliates,Kalmon Dolgin Affiliates,,,
3161,1791 St Marks Avenue,,Deals by Dollar Tree,RW1715 St. Marks,Brooklyn,10200,,,Crown Heights,11/17/2014,"Harris Reichenbaum, Esther Bukai, Miles Mahony, Richard Senior, Jeffrey Howard","Harris Reichenbaum, Esther Bukai, Miles Mahony, Richard Senior, Jeffrey Howard",Retail Leasing,01/01/2015,Ripco Real Estate,Ripco Real Esate,,,
3162,757 Third Avenue,,CVS Pharmacy,,Manhattan,10000,,,Midtown,11/17/2014,Jason Pruger,"Jeffrey Roseman, Drew Weiss",Retail Leasing,01/01/2015,Newmark Grubb Knight Frank,Newmark Grubb Knight Frank,,,
3163,700 Street Nicholas Avenue,,Capital One,Hillview Towers,Manhattan,9950,,,Harlem,11/17/2014,"Faith Hope Consolo, Joseph Aquino, Arthur Maglio","Faith Hope Consolo, Joseph Aquino, Arthur Maglio",Retail Leasing,01/01/2015,Douglas Elliman,Douglas Elliman,,,
3164,1407 Broadway,,Wells Fargo,Lightstone Group,Manhattan,6710,,,Midtown,11/17/2014,Annette Healy,Matthew Gorman and Joshua Gettler,Retail Leasing,01/01/2015,CBRE,New Street Realty Advisors,,,
3165,224 East Fordham Road,,City Mall,Fordham Emerald LLC,Bronx,6000,,,Fordham,11/17/2014,Albert Manopla,Albert Manopla,Retail Leasing,01/01/2015,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
3166,608 DeGraw Street,,South Brooklyn Crossfit,608 DeGraw StreetLLC,Brooklyn,5000,,,Gowanus,11/17/2014,Allison Chambers,Allison Chambers,Retail Leasing,01/01/2015,Kalmon Dolgin Affiliates,Kalmon Dolgin Affiliates,,,
3167,49 West 28th Street,,Wholesale Bridal Accessories,,Manhattan,4817,,,Chelsea,11/17/2014,,,Retail Leasing,01/01/2015,BLU Realty,BLU Realty Group,,,
3168,326 Bleecker Street,,Maison Kayser,Gilman Management,Manhattan,4550,,,West Village,11/17/2014,"Davie Berke, Paul Berkman",David Firestein and Taryn Brandes,Retail Leasing,01/01/2015,JLL,SCG Retail,,,
3169,1311 Broadway,,Verizon Wireless,JEMB Realty,Manhattan,4500,,,Chelsea,11/17/2014,"Robert Gibson, Tom Citron",Bobby Dweck,Retail Leasing,01/01/2015,"JLL, Newmark Grubb Knight Frank",JEMB Realty,,,
3170,"2051, 2053 86th Street",,Kings Kitchen Restaurant,2051 & 2053 86th Street Realty LLC,Brooklyn,4000,,,Bath Beach,11/17/2014,"Josh Augenbaum, Allie Beyda",Josh Augenbaum and Allie Beyda,Retail Leasing,01/01/2015,Augenbaum Realty,Augenbaum Realty,,,
3171,455 Fulton Street,,Social Apparel,Solil Management,Brooklyn,3024,,,Downtown Brooklyn,11/17/2014,"Young Byunn, Ezra Safdieh",,Retail Leasing,01/01/2015,Winick Realty Group,,,,
3172,375 Hudson Street,,Juice Press,Tishman Speyer,Manhattan,3000,,,SoHo,11/17/2014,"Jason Pruger, Aaron Cukier",,Retail Leasing,01/01/2015,Newmark Grubb Knight Frank,,,,
3173,225 East 59th Street,,Shade Store,BMB Commercial Corp.,Manhattan,2905,,,Midtown,11/17/2014,Charles Rapuano,"Kelly Gedinsky, Darrell Rubens",Retail Leasing,01/01/2015,Winick Realty Group,Winick Realty Group,,,
3174,204 East 38th Street,,Sons of Thunder,204 East 38th Property,Manhattan,2800,,,Murray Hill,11/17/2014,Rachel Kim,"Steve Rappaport, Margie Sarway",Retail Leasing,01/01/2015,SCG Retail,Sinvin Real Estate,,,
3175,892 Manhattan Avenue,,JY Produce INC,Forest Hills Property Group,Brooklyn,2500,,,Greenpoint,11/17/2014,Albert Manopla,Albert Manopla,Retail Leasing,01/01/2015,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
3176,1607 Westchester Avenue,,Burger King,West Morrison Realty LLC,Bronx,2350,,,Parkchester,11/17/2014,"Richard Senior, Isaac Shabot",Richard Senior and Isaac Shabot,Retail Leasing,01/01/2015,Ripco Real Estate,Ripco Real Esate,,,
3177,3550 Johnson Avenue,,European Wax Center,Friedland Properties,Bronx,2200,,,Riverdale,11/17/2014,Fritz Kemerling,Aaron Prince,Retail Leasing,01/01/2015,Dartmouth Company,Friedland Properties,,,
3178,38-42 Bell Boulevard,,Caffé Bene,Briarwood Properties,Queens,2000,,,Bayside,11/17/2014,Jack Lee,,Retail Leasing,01/01/2015,Kassin Sabbagh Realty,Briarwood Properties,,,
3179,44 Trinity Place,,51 Dream,,Manhattan,1800,,,Battery Park City,11/17/2014,"James Famularo, Ravi Idnani",James Famularo and Ravi Idnani,Retail Leasing,01/01/2015,Eastern Consolidated,Eastern Consolidated,,,
3180,185 Bleecker Street,,Esquared Hospitality,Bleecker Horatio,Manhattan,1780,,,West Village,11/17/2014,Philip Katz,Joshua Siegelman,Retail Leasing,01/01/2015,Katz & Associates,Winick Realty Group,,,
3181,191 Amsterdam Avenue,,Open Sesame,,Manhattan,1773,,,Upper West Side,11/17/2014,Gary Alterman,Gary Alterman,Retail Leasing,01/01/2015,RKF,RFK,,,
3182,17 West 125th Street,,Buffalo Boss,Treetop Development,Manhattan,1700,,,Harlem,11/17/2014,"Adam Stupak, Alex Spanbock",Dan Myers,Retail Leasing,01/01/2015,Task Realty,Kassin Sabbagh Realty,,,
3183,80 John Street,,Dunkin Donuts,John Gold Realty,Manhattan,1691,,,Financial District,11/17/2014,Andrew Stern,Joshua Siegelman,Retail Leasing,01/01/2015,RKF,Winick Realty Group,,,
3184,816 Broadway,,Café Benne,Lighthouse Properties LLC,Manhattan,1600,,,Greenwich Village,11/17/2014,Albert Manopla,Albert Manopla,Retail Leasing,01/01/2015,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
3185,2176 White Plains Road,,ScriptX,Comjem Associates,Bronx,1500,,,Bronxdale,11/17/2014,Albert Manopla,Albert Manopla,Retail Leasing,01/01/2015,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
3186,977 Eighth Avenue,,Paris Baguette,Gary Fieger,Manhattan,1400,,,Hell's Kitchen,11/17/2014,Tony Park,Tony Park,Retail Leasing,01/01/2015,PD Properties,PD Properties,,,
3187,940 Southern Boulevard,,Sneaker Train,Delmar Realty Co. LLC,Bronx,1400,,,Longwood,11/17/2014,"Albert Manopla, Marc Sitt",Albert Manopla and Marc Sitt,Retail Leasing,01/01/2015,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
3188,163-26 Jamaica Avenue,,NY FIX,Solil Management,Queens,1400,,,Jamaica,11/17/2014,"Albert Manopla, Marc Sitt",Albert Manopla and Marc Sitt,Retail Leasing,01/01/2015,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
3189,420 Madison Avenue,,Jin Sun Inc.,Lee Tai Enterprises,Manhattan,1400,,,Midtown,11/17/2014,Albert Manopla,Albert Manopla,Retail Leasing,01/01/2015,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
3190,20-21 Sixth Avenue,,Papyrus,"Albert Laboz, United American Land",Manhattan,1372,,,Tribeca,11/17/2014,Jacqueline Klinger,,Retail Leasing,01/01/2015,SCG Retail,,,,
3191,2 Astor Place,,Semson,Broadway LLC,Manhattan,1256,,,Greenwich Village,11/17/2014,Craig Hantgan,"Ross Kaplan, Kate Cohen",Retail Leasing,01/01/2015,Esquire Properties,Newmark Grubb Knight Frank,,,
3192,92-94 Seventh Avenue,,LaToue Spa II,George Kotsonis Management,Manhattan,1150,,,Chelsea,11/17/2014,Sagirah Abraham,Jeffrey Kessler,Retail Leasing,01/01/2015,A.C. Lawrence,Warren Lewis Sotheby's International Realty,,,
3193,63 Wall Street,,Minas Shoe Repair,RBNB Wall Street,Manhattan,1100,,,Financial District,11/17/2014,"Darrell Rubens, Lee Block",Darrell Rubens and Lee Block,Retail Leasing,01/01/2015,Winick Realty Group,Winick Realty Group,,,
3194,757 East Tremont Avenue,,Verizon Wireless,757 East Tremont Avenue LLC,Bronx,800,,,Tremont,11/17/2014,Albert Manopla,Albert Manopla,Retail Leasing,01/01/2015,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
3195,1143 Second Avenue,,Bakeshop by Woops,Stonehenge Partners,Manhattan,800,,,Upper East Side,11/17/2014,Gary Lowitt,"Richard Skulnik, Andrew Mandell, Jason Maurer, Daniel Mirea",Retail Leasing,01/01/2015,Baloo Properties,Ripco Real Esate,,,
3196,82 Christopher Street,,La Gringa Taqueria,Jayvanka II LLC,Manhattan,800,,,West Village,11/17/2014,"Albert Manopla, Jeff Znaty",Albert Manopla and Jeff Znaty,Retail Leasing,01/01/2015,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
3197,396 East 149th Street,,Honey Cosmetics,JEM Realty,Bronx,500,,,Mott Haven,11/17/2014,Albert Manopla,Albert Manopla,Retail Leasing,01/01/2015,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
3198,247 West 36th Street,,VapeNy,247 Realty Associates LLC,Manhattan,500,,,Hell's Kitchen,11/17/2014,Meyer Tawil,Meyer Tawil,Retail Leasing,01/01/2015,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
3199,1359 Second Avenue,,Sprint Spectrum,Walsam East 72nd,Manhattan,500,,,Upper East Side,11/17/2014,Melinda Miller,Melinda Miller,Retail Leasing,01/01/2015,Winick Realty Group,Winick Realty Group,,,
3200,1701 Broadway,,Sprint Spectrum,Britannia 54th,Manhattan,400,,,Hell's Kitchen,11/17/2014,Jeremy Scholder,Patty Holmstrom,Retail Leasing,01/01/2015,CBRE,Winick Realty Group,,,
3201,912 Seventh Avenue,,Vive La Crepe,Lighthouse Properties LLC,Manhattan,400,,,Midtown,11/17/2014,"Albert Manopla, Meyer Tawil",Albert Manopla,Retail Leasing,01/01/2015,Kassin Sabbagh Realty,Kassin Sabbagh Realty,,,
3202,45 Spring Street,,Birdbath Bakery,Margi Holding Corp,Manhattan,315,,,SoHo,11/17/2014,Joshua Siegelman,Joshua Halegua,Retail Leasing,01/01/2015,Winick Realty Group,Jonis Realty,,,
3203,545 Fifth Avenue,,Moinian Group,NBA,Manhattan,24000,,,Grand Central,10/22/2014,Karen Bellantoni,,Retail Leasing,12/01/2014,RKF,,,,
3204,700 Saint Nicholas Avenue,,Capital One Bank,Hillview Owners Corportation,Manhattan,9000,,,Central Harlem,10/20/2014,,"Joseph Aquino, Faith Hope Consolo, Arthur Maglio",Retail Leasing,11/29/2014,,Douglas Elliman,,,
3205,29 West Kingsbridge Road,,Kingsbridge National Ice Center,New York City Economic Development Corp.,Bronx,750000,,,Kingsbridge,10/17/2014,,,Retail Leasing,12/01/2014,Stroock & Stroock & Lavan LLP,,,,
3206,42632 Ninth Avenue,,Restoration Hardware Store,"Aurora Capital Associates, William Gottlieb Real Estate",Manhattan,70000,,,West Village,10/17/2014,Mark Masinter,"Bobby Cayre, Jared Epstein",Retail Leasing,12/01/2014,Open Realty Advisors,Aurora Capital Associates,,,
3207,57 Mercer Street,,"Crown Acquisitions, Inc.",International Olive Co.,Manhattan,35000,,,SoHo,10/17/2014,Michael Glanzberg,Michael Glanzberg,Retail Leasing,12/01/2014,Sinvin Real Estate,Sinvin Real Estate,,,
3208,8000 Cooper Avenue,,"TJ Maxx/ Jeremy Isaacs and Esther Bukai, Ripco",WMAP.,Queens,23206,,,Middle Village,10/17/2014,,Jeremy Isaacs and Esther Bukai,Retail Leasing,12/01/2014,,Ripco Real Esate,,,
3209,910 Manhattan Avenue,,New York Sports Clubs,B. Mangreen Properties,Manhattan,15200,,,Greenpoint,10/17/2014,Diana Diana Boutross,Diana Diana Boutross,Retail Leasing,12/01/2014,Winick Realty Group,Winick Realty Group,,,
3210,1000 Dean Street,,Crow Hill Crossfit,,Brooklyn,11600,,,Crown Heights,10/17/2014,,"Ryan Condren, Kristina Triglia, George Danut",Retail Leasing,12/01/2014,,CPEX Real Estate,,,
3211,4211 Broadway,,Gap Factory Store,,Manhattan,10000,,,Washington Heights,10/17/2014,Ariel Schuster,,Retail Leasing,12/01/2014,RKF,,,,
3212,1029 Third Avenue,,S&C Future aka Learning Express Toys,3rd & 60th Associates,Manhattan,9185,,,Upper East Side,10/17/2014,Charles Rapuano,Charles Rapuano,Retail Leasing,12/01/2014,Winick Realty Group,Winick Realty Group,,,
3213,513 Broadway,,True Religion,513 Broadway LLC,Manhattan,9100,,,SoHo,10/17/2014,"Brenda Wurtz, BW Retail Real Estate, Jason Pruger, Aaron Cukier",Ariel Schuster,Retail Leasing,12/01/2014,Newmark Grubb Knight Frank,RKF,,,
3214,270 Madison Avenue,,Park Avenue Liquor,270 Madison Ave. Associates,Manhattan,7900,,,Midtown,10/17/2014,"Paul Davidson, Gregg Gropper",John Brod and Mark Tergesen,Retail Leasing,12/01/2014,Newmark Grubb Knight Frank,ABS Partners Real Estate,,,
3215,3 West 57th Street,,Kering Americas,El-Kam Realty Co.,Manhattan,7700,,,Midtown,10/17/2014,"Chris DeCrosta, Hank O'Donnell",Kelly Gedinsky,Retail Leasing,12/01/2014,Crown Retail Services,Winick Realty Group,,,
3216,100 Fifth Avenue,,Eddie Bauer,,Manhattan,7400,,,Chelsea,10/17/2014,,Ariel Schuster,Retail Leasing,12/01/2014,,RKF,,,
3217,740 Linden Boulevard,,AutoZone,SB Realty No. 2,Queens,7360,,,East Flatbush,10/17/2014,"Richard Senior, Jeffrey Howard, Esther Bukai","Richard Senior, Jeffrey Howard, Esther Bukai",Retail Leasing,12/01/2014,Ripco Real Estate,Ripco Real Esate,,,
3218,1536 Third Avenue,,Hu Kitchen,"Capital One, 1536 Third Avenue",Manhattan,7075,,,Upper East Side,10/17/2014,"Jason Pennington, Zach Nathan",Thomas Citron and Noah Birnbaum,Retail Leasing,12/01/2014,Ripco Real Estate,Newmark Grubb Knight Frank,,,
3219,368 Bleecker Street,,James Perse,"Tamara Properties, Inc. and Gomidas Holding Corp.",Manhattan,7000,,,West Village,10/17/2014,"Christopher Owles, Sarah Shannon",Christopher Owles and Sarah Shannon,Retail Leasing,12/01/2014,Sinvin Real Estate,Sinvin Real Estate,,,
3220,57 Greene Street,,,,Manhattan,5650,,,SoHo,10/17/2014,,Christopher Owles,Retail Leasing,12/01/2014,,Sinvin Real Estate,,,
3221,42655 Crosby Street,,Henrybuilt,Madison Capital,Manhattan,5400,,,SoHo,10/17/2014,Sarah Shannon,"Marc Simon, Josh Lewin",Retail Leasing,12/01/2014,Sinvin Real Estate,Isaacs & Company,,,
3222,21 West 38th Street,,"Lucky Zone Design, LLC",Brause Realty,Manhattan,4465,,,Midtown,10/17/2014,Christine Traina,"Ron Zimmerman, Andy Udis, Ian Weiss",Retail Leasing,12/01/2014,Douglas Elliman,ABS Partners Real Estate,,,
3223,18 West 8th Street,,305 Fitness,Friedland Properties,Manhattan,4200,,,Greenwich Village,10/17/2014,"Aaron Cukier, Tyler Scalzo",,Retail Leasing,12/01/2014,Newmark Grubb Knight Frank,,,,
3224,101 Greene Street,,,,Manhattan,4144,,,SoHo,10/17/2014,Michael Glanzberg,"Christopher Owles, Max Talpalar, Sarah Shannon",Retail Leasing,12/01/2014,Sinvin Real Estate,Sinvin Real Estate,,,
3225,379 Fifth Avenue,,Mika Collections,379 Fifth Avenue,Manhattan,3935,,,Midtown,10/17/2014,Patty Holmstrom,Patty Holmstrom,Retail Leasing,12/01/2014,Winick Realty Group,Winick Realty Group,,,
3226,50 Laight Street,,"50 Laight Street LLC, Mark Mohrmann",Laurel Capital,Manhattan,3919,,,Tribeca,10/17/2014,John Harrison,Roxanne Betesh,Retail Leasing,12/01/2014,CORE,Sinvin Real Estate,,,
3227,58 East 8th Street,,Fresh & Co.,Three Streets LLC,Manhattan,3869,,,Greenwich Village,10/17/2014,Steven Baker,James Goldstick,Retail Leasing,12/01/2014,Winick Realty Group,Mark Greenberg Real Estate,,,
3228,501 Gateway Drive,,AT&T,Related Companies,Brooklyn,3500,,,East New York,10/17/2014,Steven Baker,Steven Baker,Retail Leasing,12/01/2014,Winick Realty Group,Winick Realty Group,,,
3229,204 East 38th Street,,Sons of Thunder,204 East 38th Property,Manhattan,2900,,,Murray Hill,10/17/2014,Rachel Kim,"Steve Rappaport, Margie Sarway",Retail Leasing,12/01/2014,SGC Retail,Sinvin Real Estate,,,
3230,1140 Second Avenue,,Subway Inn,301 East 60th Street,Manhattan,2800,,,Upper East Side,10/17/2014,"Ben Birnbaum, Mark Utreras",Jay Gilbert and Jansen Hafen,Retail Leasing,12/01/2014,Newmark Grubb Knight Frank,Newmark Grubb Knight Frank,,,
3231,131 Thompson Street,,Hair Lounge,Village Rose LLC,Manhattan,2575,,,SoHo,10/17/2014,Polly Chang,"Steve Rappaport, Margie Sarway",Retail Leasing,12/01/2014,Douglas Elliman,Sinvin Real Estate,,,
3232,20 Pine Street,,Café Gallery LLC,20 Pine Street Inc.,Manhattan,2500,,,Financial District,10/17/2014,Elliot Rackman,Darrell Rubens,Retail Leasing,12/01/2014,Rackman Realty,Winick Realty Group,,,
3233,234 Spring Street,,Estela,Trinity Hudson Holdings LLC,Manhattan,2414,,,SoHo,10/17/2014,Casal Sanandres,"Christopher Owles, Randy Kornblatt, Jonathan Isbitt",Retail Leasing,12/01/2014,Buckley Organization,Sinvin Real Estate,,,
3234,300 Lenox Avenue,,Checkers,Fata Realty LLC,Manhattan,2400,,,Harlem,10/17/2014,Matthew Schuss,Matthew Schuss,Retail Leasing,12/01/2014,Winick Realty Group,Winick Realty Group,,,
3235,45 Eighth Avenue,,"Soho Laundry and Cleaners, Inc.",45-47-49 Eighth Avenue LLC,Manhattan,2400,,,West Village,10/17/2014,Steve Rappaport,Steve Rappaport,Retail Leasing,12/01/2014,Sinvin Real Estate,Sinvin Real Estate,,,
3236,41 West 24th Street,,Chop Shop Flatiron,,Manhattan,2325,,,Chelsea,10/17/2014,,Michael Azarian,Retail Leasing,12/01/2014,,Massey Knakal Realty Services,,,
3237,41 West 24th Street,,Chop Shop Flatiron,"Madison Park 24 LLC, c/o GJR",Manhattan,2300,,,Chelsea,10/17/2014,Steve Rappaport,Michael Azarian,Retail Leasing,12/01/2014,Sinvin Real Estate,Massey Knakal Realty Services,,,
3238,256 West 116th Street,,7-Eleven,Sugar Hill Capital Partners,Manhattan,2300,,,Harlem,10/17/2014,Elizabeth Martin,"Joshua Kaufman, Matthew Gorman, Joshua Gettler",Retail Leasing,12/01/2014,E.L. Martin Partners,New Street Realty Advisors,,,
3239,2519 Broadway,,Capital One Bank,250 Tenants Corp.,Manhattan,2278,,,Upper West Side,10/17/2014,"Tom Citron, Bob Gibson",Stu Morden and Ross Kaplan,Retail Leasing,12/01/2014,Cushman & Wakefield,Newmark Grubb Knight Frank,,,
3240,25 Central Park West,,Valery Joseph Salon,CPW Retail LLC,Manhattan,2267,,,Upper West Side,10/17/2014,Lori Shabtai,"Steven Baker, Charles Rapuano",Retail Leasing,12/01/2014,LHWS LLC,Winick Realty Group,,,
3241,317 West 13th Street,,Drybar Holdings LLC,317 West 13th Street LLC,Manhattan,2200,,,West Village,10/17/2014,Kim Walton,Christopher Owles Sarah Shannon,Retail Leasing,12/01/2014,Ripco Real Estate,"Sinvin Real Estate, Cushman & Wakefield",,,
3242,2 Park Avenue,,Irmat Pharmacy,,Manhattan,2150,,,Midtown,10/17/2014,Arnold Gamberg,Alisa Amsterdam,Retail Leasing,12/01/2014,EVO Real Estate Group,Cushman & Wakefield,,,
3243,1607 Westchester Avenue,,Burger King,West Morrison Realty LLC,Bronx,2000,,,Parkchester,10/17/2014,"Richard Senior, Isaac Shabot",Richard Senior and Isaac Shabot,Retail Leasing,12/01/2014,Ripco Real Estate,Ripco Real Esate,,,
3244,455 Park Avenue South,,Mirage Kitchen,Pan Am Equities,Manhattan,1905,,,Midtown,10/17/2014,Yanni Marmarou,Joshua Strauss and David Abrams,Retail Leasing,12/01/2014,RKF,RKF,,,
3245,395 Flatbush Avenue,,H&R Block Eastern,Fulton Dekalb Associates,Brooklyn,1831,,,Park Slope,10/17/2014,Bill O'Brien,"Zach Mishaan, Darrell Rubens, Matthew Schuss",Retail Leasing,12/01/2014,M.C. O'Brien,Winick Realty Group,,,
3246,624 Madison Avenue,,Frey Wille,Porsche Design,Manhattan,1742,,,Midtown,10/17/2014,,Michael Glanzberg and Sarah Shannon,Retail Leasing,12/01/2014,Robin Zendell,Sinvin Real Estate,,,
3247,101 Maiden Lane,,Juice Generation,TF Cornerstone,Manhattan,1683,,,Financial District,10/17/2014,Benjamin Birnbaum,"Steven Baker, Aaron Fishbein",Retail Leasing,12/01/2014,Newmark Grubb Knight Frank,Winick Realty Group,,,
3248,4071 Broadway,,Twin Pharmacy,Sunshine Capital,Manhattan,1550,,,Washington Heights,10/17/2014,"Zach Diamond, Hal Shapiro","Zach Diamond, Hal Shapiro",Retail Leasing,12/01/2014,Winick Realty Group,Winick Realty Group,,,
3249,1276 Lexington Avenue,,TD Bank,1276 Lex Owner,Manhattan,1325,,,Upper East Side,10/17/2014,Joanne Podell,"Lee Block, Kelly Gedinsky",Retail Leasing,12/01/2014,Cushman & Wakefield,Winick Realty Group,,,
3250,1701 Broadway,,HBO,Britannia 54th Ho,Manhattan,1200,,,Hell's Kitchen,10/17/2014,Joshua Siegelman,Joshua Siegelman,Retail Leasing,12/01/2014,Winick Realty Group,Winick Realty Group,,,
3251,3929 Broadway,,S Wireless,Royal Charter Pro,Manhattan,1200,,,Washington Heights,10/17/2014,"Noel Caban, Steven Baker",Brian Shadood,Retail Leasing,12/01/2014,Winick Realty Group,Halstead Property,,,
3252,800 Second Avenue,,Chelsea Bagel,Philips International,Manhattan,1150,,,Murray Hill,10/17/2014,Matthew Schuss,Hal Shapiro,Retail Leasing,12/01/2014,Winick Realty Group,Winick Realty Group,,,
3253,471 86th Street,,Cricket Wireless,,Brooklyn,1000,,,Fort Hamilton,10/17/2014,,Mitzi Flexer,Retail Leasing,12/01/2014,,Massey Knakal Realty Services,,,
3254,177 Lafayette Street,,Dusica Dusica,,Manhattan,1000,,,SoHo,10/17/2014,"Pedro Carrillo, Robert Buckley",Brandon Singer and Joanne Podell,Retail Leasing,12/01/2014,Keller Williams NYC,Cushman & Wakefield,,,
3255,505 Broome Street,,Michele Negri,366 West Broadway LLC,Manhattan,900,,,SoHo,10/17/2014,Shaun Moamem,"Christopher Owles, Sarah Shannon",Retail Leasing,12/01/2014,Plaza Real Estate Group,Sinvin Real Estate,,,
3256,172 East 85th Street,,"KeratinBar, Inc.",160-172 East 85th Street LLC,Manhattan,800,,,Upper East Side,10/17/2014,Jeffrey Sherpa,"Steve Rappaport, Margie Sarway",Retail Leasing,12/01/2014,NYC Restaurant Realty Corp.,Sinvin Real Estate,,,
3257,101 Ludlow Street,,Hakki Deniz,101 Ludlow LLC,Manhattan,670,,,Lower East Side,10/17/2014,David Haley,"Steve Rappaport, Margie Sarway",Retail Leasing,12/01/2014,Misrahi Realty,Sinvin Real Estate,,,
3258,206 Rivington Street,,Le Gourmet Parisien,Lo-Ho LLC,Manhattan,600,,,Lower East Side,10/17/2014,Yesim Ak,Daniel Barcelowsky,Retail Leasing,12/01/2014,Misrahi Realty,Misrahi Realty,,,
3259,186 Fifth Avenue,,Outlette Inc.,186 Fifth LLC,Manhattan,370,,,Park Slope,10/17/2014,Melinda Miller,Melinda Miller,Retail Leasing,12/01/2014,Winick Realty Group,Winick Realty Group,,,
3260,533 Third Avenue,,Voyage Salon,Third Chris L.P.,Manhattan,350,,,Murray Hill,10/17/2014,Steven Evans,"Steve Rappaport, Margie Sarway",Retail Leasing,12/01/2014,Platinum Properties,Sinvin Real Estate,,,
3261,206 East 6th Street,,Yin Zuo Spa Inc.,,Manhattan,330,,,NoHo,10/17/2014,Thomas Li,Dean Valentino,Retail Leasing,12/01/2014,Suzuki Capital,ABS Partners Real Estate,,,
3262,119 East 18th Street,,Javelina Tex-Mex LLC,Life Restaurant Group,Manhattan,,,,Gramercy,10/17/2014,,Joshua Kaufman,Retail Leasing,12/01/2014,,New Street Realty Advisors,,,
